"precision.svm" "precision.svm1" "precision.knn" "precision.knn1"
"1" 0.967880085653105 0.795503211991435 0.80406852248394 0.718415417558886
"2" 0.931477516059957 0.792291220556745 0.816916488222698 0.722698072805139
"3" 0.967880085653105 0.793361884368308 0.773019271948608 0.73661670235546
"4" 0.944325481798715 0.784796573875803 0.813704496788009 0.73661670235546
"5" 0.980728051391863 0.796573875802998 0.758029978586724 0.740899357601713
"6" 0.972162740899358 0.792291220556745 0.756959314775161 0.728051391862955
"7" 0.967880085653105 0.782655246252677 0.755888650963597 0.73661670235546
"8" 0.963597430406852 0.798715203426124 0.749464668094218 0.745182012847966
"9" 0.972162740899358 0.796573875802998 0.78051391862955 0.724839400428265
"10" 0.955032119914347 0.796573875802998 0.794432548179872 0.744111349036403
"11" 0.943254817987152 0.80406852248394 0.808351177730193 0.761241970021413
"12" 0.955032119914347 0.800856531049251 0.799785867237687 0.774089935760171
"13" 0.97644539614561 0.797644539614561 0.753747323340471 0.759100642398287
"14" 0.970021413276231 0.782655246252677 0.750535331905782 0.746252676659529
"15" 0.988222698072805 0.78051391862955 0.770877944325482 0.730192719486081
"16" 0.933618843683083 0.785867237687366 0.771948608137045 0.740899357601713
"17" 0.947537473233405 0.811563169164882 0.770877944325482 0.766595289079229
"18" 0.960385438972163 0.796573875802998 0.806209850107066 0.756959314775161
"19" 0.980728051391863 0.793361884368308 0.751605995717345 0.744111349036403
"20" 0.942184154175589 0.791220556745182 0.794432548179872 0.73982869379015
"21" 0.943254817987152 0.805139186295503 0.762312633832976 0.768736616702355
"22" 0.968950749464668 0.796573875802998 0.805139186295503 0.740899357601713
"23" 0.972162740899358 0.797644539614561 0.779443254817987 0.758029978586724
"24" 0.978586723768737 0.795503211991435 0.778372591006424 0.741970021413276
"25" 0.964668094218415 0.784796573875803 0.80406852248394 0.73982869379015
