"precision.svm" "precision.svm1" "precision.knn" "precision.knn1"
"1" 0.785714285714286 0.778571428571429 0.75 0.75
"2" 0.835714285714286 0.785714285714286 0.75 0.757142857142857
"3" 0.785714285714286 0.928571428571429 0.792857142857143 0.735714285714286
"4" 0.828571428571429 0.8 0.785714285714286 0.75
"5" 0.771428571428571 0.8 0.764285714285714 0.735714285714286
"6" 0.85 0.764285714285714 0.8 0.7
"7" 0.835714285714286 0.792857142857143 0.857142857142857 0.742857142857143
"8" 0.778571428571429 0.8 0.9 0.757142857142857
"9" 0.857142857142857 0.828571428571429 0.807142857142857 0.757142857142857
"10" 0.842857142857143 0.778571428571429 0.85 0.75
"11" 0.75 0.785714285714286 0.821428571428571 0.735714285714286
"12" 0.935714285714286 0.814285714285714 0.871428571428571 0.714285714285714
"13" 0.885714285714286 0.778571428571429 0.842857142857143 0.707142857142857
"14" 0.864285714285714 0.807142857142857 0.828571428571429 0.742857142857143
"15" 0.864285714285714 0.764285714285714 0.778571428571429 0.671428571428571
"16" 0.857142857142857 0.8 0.807142857142857 0.771428571428571
"17" 0.757142857142857 0.785714285714286 0.764285714285714 0.814285714285714
"18" 0.757142857142857 0.785714285714286 0.792857142857143 0.742857142857143
"19" 0.75 0.771428571428571 0.757142857142857 0.692857142857143
"20" 0.785714285714286 0.778571428571429 0.871428571428571 0.671428571428571
